Channel 1,Channel 2,Channel 3,Channel 4
9918,-69,-65,0
9892,-64,-65,0
9867,-64,-65,0
9890,-64,-66,0
9916,-70,-66,0
9919,-70,-66,0
9900,-64,-67,0
9932,-70,-67,0
9921,-70,-67,0
9925,-73,-67,0
9910,-73,-68,0
9902,-73,-68,0
9893,-66,-68,0
9907,-66,-68,0
9876,-66,-68,0
9868,-66,-68,0
9923,-71,-68,0
9918,-74,-68,0
9898,-71,-68,0
9908,-72,-68,0
9897,-72,-69,0
9920,-72,-69,0
9917,-72,-69,0
9921,-72,-69,0
9891,-72,-69,0
9896,-71,-69,0
9873,-71,-69,0
9918,-72,-70,0
9917,-74,-70,0
9905,-72,-70,0
9912,-72,-70,0
9938,-74,-71,0
9903,-72,-71,0
9928,-72,-71,0
9929,-72,-71,0
9929,-72,-71,0
9917,-76,-71,0
9921,-81,-71,0
9886,-81,-72,0
9892,-81,-73,0
9929,-81,-73,0
9909,-81,-74,0
9930,-81,-74,0
9912,-81,-74,0
9928,-81,-75,0
9927,-81,-75,0
9925,-81,-75,0
9924,-82,-76,0
9923,-82,-76,0
9912,-82,-77,0
9945,-85,-77,0
9920,-85,-78,0
9898,-85,-78,0
9908,-85,-79,0
9890,-85,-79,0
9873,-85,-80,0
9863,-84,-80,0
9846,-84,-81,0
9829,-81,-81,0
9819,-76,-81,0
9797,-76,-81,0
9769,-73,-81,0
9766,-72,-81,0
9787,-72,-80,0
9780,-72,-80,0
9776,-62,-79,0
9762,-54,-78,0
9792,-37,-76,0
9785,-27,-74,0
9803,-10,-71,0
9788,7,-68,0
9824,12,-64,0
9805,17,-60,0
9811,25,-56,0
9809,27,-52,0
9808,28,-47,0
9835,28,-43,0
9821,28,-38,0
9840,28,-34,0
9843,28,-29,0
9851,28,-24,0
9837,28,-20,0
9861,28,-16,0
9856,28,-11,0
9865,28,-7,0
9846,27,-3,0
9848,25,0,0
9844,15,4,0
9869,12,7,0
9872,1,10,0
9874,-1,12,0
9867,-4,14,0
9861,-7,15,0
9866,-8,16,0
9861,-10,16,0
9884,-12,15,0
9881,-15,14,0
9868,-20,13,0
9847,-20,11,0
9858,-22,9,0
9876,-25,7,0
9884,-25,5,0
9875,-25,3,0
9889,-29,1,0
9883,-30,-1,0
9881,-31,-3,0
9873,-32,-6,0
9884,-33,-8,0
9881,-36,-11,0
9875,-37,-13,0
9874,-38,-16,0
9849,-38,-18,0
9876,-38,-20,0
9876,-39,-22,0
9884,-39,-24,0
9872,-39,-26,0
9888,-40,-27,0
9887,-40,-28,0
9887,-40,-30,0
9876,-40,-31,0
9876,-40,-32,0
9872,-40,-33,0
9851,-40,-34,0
